datetime,rainfall,airtemp,airhum,windspeed,windir,airpress,uvrad,DoY,Jam
2022-09-09 04:00:00,0.0,23.9,94.92,0.0,-0.5025443191453852,1008.64,0.0,-0.9351459258191755,-0.6536436208636119
2022-09-09 05:00:00,0.0,23.6,94.92,0.0,-0.5025443191453852,1008.8,0.0,-0.9351459258191755,0.28366218546322625
2022-09-09 06:00:00,0.0,23.4,94.92,0.0,-0.5025443191453852,1009.68,0.0,-0.9351459258191755,0.960170286650366
2022-09-09 07:00:00,0.0,24.9,94.92,0.39,-0.5025443191453852,1010.32,0.0,-0.9351459258191755,0.7539022543433046
2022-09-09 08:00:00,0.0,26.58,94.92,2.11,0.33416538263076073,1010.8,0.0,-0.9351459258191755,-0.14550003380861354
2022-09-09 09:00:00,0.0,29.2,84.4,7.93,0.1891294205289584,1011.42,0.0,-0.9351459258191755,-0.9111302618846769
2022-09-09 10:00:00,0.0,29.9,78.76,8.97,0.6195206125592099,1011.2,0.0,-0.9351459258191755,-0.8390715290764524
2022-09-09 11:00:00,0.0,31.2,72.56,8.83,0.3755095977670121,1010.4,0.0,-0.9351459258191755,0.004425697988050785
2022-09-09 12:00:00,0.0,30.0,77.38,6.03,-0.9960878351411849,1009.9,0.0,-0.9351459258191755,0.8438539587324921
2022-09-09 13:00:00,0.0,30.9,73.02,6.16,-0.562453851238172,1008.72,0.0,-0.9351459258191755,0.9074467814501962
2022-09-09 14:00:00,0.0,31.3,72.9,7.64,0.903705111970614,1007.7,0.0,-0.9351459258191755,0.1367372182078336
2022-09-09 15:00:00,0.0,30.58,73.7,5.71,0.33416538263076073,1007.52,0.0,-0.9351459258191755,-0.7596879128588213
2022-09-09 16:00:00,0.0,,,,,,,-0.9351459258191755,-0.9576594803233847
2022-09-09 17:00:00,0.0,24.8,94.92,10.06,0.6195206125592099,1009.04,0.0,-0.9351459258191755,-0.27516333805159693
2022-09-09 18:00:00,0.2,23.7,94.92,12.22,0.8141809705265618,1009.92,0.0,-0.9351459258191755,0.6603167082440802
2022-09-09 19:00:00,0.8,23.5,94.92,6.44,-0.9811055226493881,1010.16,0.0,-0.9351459258191755,0.9887046181866692
2022-09-09 20:00:00,0.0,23.5,94.92,0.96,-0.09277620459766088,1011.44,0.0,-0.9351459258191755,0.40808206181339196
2022-09-09 21:00:00,0.0,23.8,94.92,0.69,-0.03979075993115771,1012.02,0.0,-0.9351459258191755,-0.5477292602242684
2022-09-09 22:00:00,0.0,23.86,94.92,0.0,-0.03979075993115771,1012.1,0.0,-0.9351459258191755,-0.9999608263946371
2022-09-09 23:00:00,0.0,23.84,94.92,0.09,0.6195206125592099,1011.64,0.0,-0.9351459258191755,-0.5328330203333975
2022-09-10 00:00:00,0.0,23.66,94.92,0.3,0.6195206125592099,1010.9,0.0,-0.22054128517162724,1.0
2022-09-10 01:00:00,0.0,23.8,94.92,0.0,0.47165229356133864,1010.1,0.0,-0.22054128517162724,0.5403023058681398
